window_size,num_edges,num_nodes,avg_degree
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,250,0.0
5,0,287,0.0
6,0,327,0.0
7,0,327,0.0
8,23,327,0.14067278287461774
9,125,327,0.764525993883792
10,363,327,2.220183486238532
11,591,327,3.614678899082569
12,753,327,4.605504587155964
13,896,327,5.480122324159021
14,1017,327,6.220183486238532
15,1124,327,6.874617737003058
16,1198,327,7.327217125382263
17,1273,327,7.7859327217125385
18,1352,327,8.269113149847096
19,1424,327,8.709480122324159
20,1480,327,9.051987767584098
21,1539,327,9.412844036697248
22,1592,327,9.737003058103976
23,1655,327,10.122324159021407
24,1714,327,10.483180428134556
25,1776,327,10.862385321100918
26,1830,327,11.192660550458715
27,1891,327,11.565749235474007
28,1930,327,11.80428134556575
29,1983,327,12.128440366972477
30,2032,327,12.428134556574923
31,2071,327,12.666666666666666
32,2123,327,12.984709480122325
33,2165,327,13.241590214067278
34,2205,327,13.486238532110091
35,2245,327,13.730886850152904
36,2275,327,13.914373088685016
37,2309,327,14.122324159021407
38,2348,327,14.36085626911315
39,2382,327,14.568807339449542
40,2417,327,14.782874617737003
41,2461,327,15.051987767584098
42,2495,327,15.259938837920489
43,2519,327,15.406727828746178
44,2561,327,15.663608562691131
45,2587,327,15.82262996941896
46,2616,327,16.0
47,2654,327,16.232415902140673
48,2682,327,16.40366972477064
49,2717,327,16.617737003058103
50,2748,327,16.807339449541285
51,2785,327,17.033639143730888
52,2814,327,17.211009174311926
53,2838,327,17.357798165137616
54,2871,327,17.559633027522935
55,2897,327,17.718654434250766
56,2925,327,17.889908256880734
57,2950,327,18.04281345565749
58,2977,327,18.207951070336392
59,3005,327,18.37920489296636
60,3033,327,18.55045871559633
61,3055,327,18.68501529051988
62,3086,327,18.874617737003057
63,3106,327,18.996941896024463
64,3135,327,19.174311926605505
65,3149,327,19.25993883792049
66,3180,327,19.44954128440367
67,3214,327,19.65749235474006
68,3242,327,19.828746177370032
69,3272,327,20.01223241590214
70,3295,327,20.152905198776757
71,3309,327,20.238532110091743
72,3332,327,20.37920489296636
73,3351,327,20.495412844036696
74,3364,327,20.574923547400612
75,3379,327,20.666666666666668
76,3400,327,20.795107033639145
77,3426,327,20.954128440366972
78,3448,327,21.08868501529052
79,3470,327,21.223241590214066
80,3490,327,21.345565749235472
81,3524,327,21.553516819571865
82,3546,327,21.68807339449541
83,3569,327,21.828746177370032
84,3583,327,21.914373088685014
85,3602,327,22.03058103975535
86,3625,327,22.171253822629968
87,3643,327,22.281345565749234
88,3678,327,22.495412844036696
89,3704,327,22.654434250764528
90,3728,327,22.801223241590215
91,3741,327,22.880733944954127
92,3756,327,22.972477064220183
93,3774,327,23.08256880733945
94,3792,327,23.192660550458715
95,3807,327,23.28440366972477
96,3823,327,23.382262996941897
97,3843,327,23.504587155963304
98,3861,327,23.61467889908257
99,3874,327,23.69418960244648
100,3888,327,23.779816513761467
101,3912,327,23.926605504587155
102,3929,327,24.03058103975535
103,3952,327,24.171253822629968
104,3962,327,24.232415902140673
105,3984,327,24.36697247706422
106,3998,327,24.452599388379205
107,4017,327,24.568807339449542
108,4034,327,24.672782874617738
109,4055,327,24.801223241590215
110,4073,327,24.91131498470948
111,4095,327,25.045871559633028
112,4112,327,25.149847094801224
113,4120,327,25.198776758409785
114,4136,327,25.29663608562691
115,4155,327,25.412844036697248
116,4170,327,25.504587155963304
117,4185,327,25.59633027522936
118,4197,327,25.6697247706422
119,4212,327,25.761467889908257
120,4227,327,25.853211009174313
121,4250,327,25.99388379204893
122,4265,327,26.085626911314986
123,4285,327,26.207951070336392
124,4298,327,26.287461773700304
125,4317,327,26.40366972477064
126,4330,327,26.483180428134556
127,4347,327,26.587155963302752
128,4368,327,26.71559633027523
129,4383,327,26.807339449541285
130,4395,327,26.880733944954127
131,4415,327,27.003058103975537
132,4424,327,27.058103975535168
133,4434,327,27.119266055045873
134,4451,327,27.223241590214066
135,4461,327,27.28440366972477
136,4482,327,27.412844036697248
137,4502,327,27.535168195718654
138,4513,327,27.60244648318043
139,4526,327,27.68195718654434
140,4546,327,27.804281345565748
141,4562,327,27.902140672782874
142,4579,327,28.00611620795107
143,4596,327,28.110091743119266
144,4605,327,28.165137614678898
145,4623,327,28.275229357798164
146,4637,327,28.36085626911315
147,4654,327,28.464831804281346
148,4670,327,28.56269113149847
149,4676,327,28.599388379204893
150,4693,327,28.70336391437309
151,4706,327,28.782874617737004
152,4721,327,28.874617737003057
153,4737,327,28.972477064220183
154,4753,327,29.07033639143731
155,4767,327,29.155963302752294
156,4774,327,29.198776758409785
157,4789,327,29.29051987767584
158,4805,327,29.388379204892967
159,4815,327,29.44954128440367
160,4825,327,29.510703363914374
161,4841,327,29.6085626911315
162,4857,327,29.706422018348626
163,4870,327,29.785932721712538
164,4880,327,29.847094801223243
165,4897,327,29.95107033639144
166,4907,327,30.01223241590214
167,4925,327,30.122324159021407
168,4938,327,30.201834862385322
169,4953,327,30.293577981651374
170,4963,327,30.35474006116208
171,4978,327,30.446483180428135
172,4996,327,30.5565749235474
173,5008,327,30.629969418960243
174,5024,327,30.72782874617737
175,5039,327,30.819571865443425
176,5054,327,30.91131498470948
177,5070,327,31.009174311926607
178,5090,327,31.131498470948014
179,5103,327,31.211009174311926
180,5109,327,31.24770642201835
181,5121,327,31.321100917431192
182,5137,327,31.418960244648318
183,5149,327,31.492354740061163
184,5161,327,31.565749235474005
185,5172,327,31.63302752293578
186,5184,327,31.706422018348626
187,5194,327,31.767584097859327
188,5209,327,31.859327217125383
189,5228,327,31.97553516819572
190,5246,327,32.08562691131498
191,5261,327,32.17737003058104
192,5273,327,32.25076452599389
193,5282,327,32.305810397553515
194,5299,327,32.40978593272171
195,5311,327,32.48318042813456
196,5326,327,32.57492354740061
197,5336,327,32.63608562691132
198,5348,327,32.70948012232416
199,5368,327,32.83180428134557
200,5389,327,32.960244648318046
